Date,Max_Avg_Temp,Min_Avg_Temp
2017-09-05,94.05263157894737,75.89473684210526
2017-09-06,93.15789473684211,75.10526315789474
2017-09-07,93.10526315789474,74.89473684210526
2017-09-08,92.89473684210526,75.3157894736842
2017-09-09,90.0,74.47368421052632
2017-09-10,83.11764705882354,73.58823529411765
2017-09-11,88.42857142857143,77.42857142857143
2017-09-12,91.0,79.125
2017-09-13,90.85714285714286,78.28571428571429
2017-09-14,92.16666666666667,76.55555555555556
2017-09-15,93.55555555555556,76.55555555555556
2017-09-16,92.3,78.9
